ID,Internal Reference,Name,Cost,Sales Price,Internal Category,Product Type,Alamat,Tipe,Nama Cluster/Apartement/Hotel,Zona,Tower,Type Unit,Jenis,Lantai,Nett,Semi Gross,Status Ketersediaan,Can be Sold,Can be Purchased,Property,Status Property,Daftar Harga / Tanggal,Daftar Harga / Harga,Products / Vendors / Price,Products / Vendors / Vendor
A/01/01,A/01/01,A/01/01,580592870.00,644819000.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,2BRC,Hunian,01,40.90,51.38,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,644819000.00,527811700.00,PT ALFA RETAILINDO
A/01/02,A/01/02,A/01/02,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,01,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/01/03,A/01/03,A/01/03,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,01,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/01/05,A/01/05,A/01/05,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,01,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/01/06,A/01/06,A/01/06,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,01,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/01/07,A/01/07,A/01/07,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,01,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/01,A/02/01,A/02/01,580592870.00,644819000.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,2BRC,Hunian,02,40.90,51.38,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,644819000.00,527811700.00,PT ALFA RETAILINDO
A/02/02,A/02/02,A/02/02,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/03,A/02/03,A/02/03,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/05,A/02/05,A/02/05,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/06,A/02/06,A/02/06,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/07,A/02/07,A/02/07,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/08,A/02/08,A/02/08,271132200.00,301074500.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,STD,Hunian,02,19.10,23.99,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,301074500.00,246483818.18,PT ALFA RETAILINDO
A/02/09,A/02/09,A/02/09,580592870.00,644819000.00,All / Property,Stockable Product,Jl. Ir H. Juanda Bekasi,Apartement,Trans Park Juanda,Low Zone,Tower Jade,2BRC,Hunian,02,40.90,51.38,TRUE,TRUE,TRUE,TRUE,Dapat Dijual,1/1/2018,644819000.00,527811700.00,PT ALFA RETAILINDO
